win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.51,0.13,1.04,21.49,0.09,0.41,0.34,0.39,0.12,0.16,0.12,0.12,0.11,0.16,0.08,0.13,0.16,0.12,0.09,0.14,0.14,0.07,0.15,0.14,0.17,0.14,0.02,0.04,0.09,0.14,0.06,0.1,0.2,0.13,0.09,14,1
0.49,0.13,0.86,22.07,0.06,0.4,0.23,0.29,0.17,0.21,0.07,0.13,0.13,0.11,0.06,0.15,0.1,,0.13,0.13,0.15,0.16,0.16,0.12,0.14,0.05,0.02,0.19,0.13,0.12,0.07,0.03,0.15,0.15,0.13,16,1
0.53,0.19,1.31,11.83,0.11,1.41,0.24,0.34,0.21,0.21,0.16,0.2,0.17,0.25,0.19,0.23,0.23,0.15,0.19,0.15,0.18,0.14,0.23,0.19,0.26,0.19,0.1,0.16,0.23,0.16,0.16,0.17,0.18,0.18,0.2,12,1
0.55,0.13,0.9,21.35,0.09,0.44,0.3,0.37,0.15,0.12,0.09,0.13,0.12,0.18,0.05,0.17,0.14,0.15,0.09,0.19,0.1,0.08,0.18,0.32,0.14,0.06,0.04,0.21,0.19,0.13,0.18,0.12,0.1,0.11,0.16,29,1
0.49,0.16,0.89,22.66,0.08,0.29,0.25,0.32,0.2,0.19,0.2,0.15,0.14,0.21,0.15,0.16,0.12,0.18,0.14,0.17,0.19,0.07,0.2,0.2,0.2,0.21,0.04,0.21,0.2,0.15,0.18,0.17,0.11,0.17,0.21,21,1
0.67,0.27,3.23,31.78,0.31,1.23,0.62,0.48,0.39,0.39,0.3,0.26,0.22,0.33,0.3,0.24,0.39,0.42,0.25,0.33,0.32,0.17,0.36,0.29,0.34,0.35,0.15,0.29,0.29,0.3,0.24,0.33,0.31,0.26,0.29,22,1
0.52,0.16,1.16,22.33,0.1,0.27,0.34,0.34,0.19,0.16,0.3,0.15,0.14,0.24,0.13,0.12,,,0.12,0.17,0.2,0.17,,,0.14,,0.27,0.18,0.16,0.15,0.3,0.09,,,,9,1
0.72,0.21,2.05,21.25,0.36,2.07,0.47,0.44,0.32,0.25,0.29,0.27,0.21,0.25,0.28,0.29,0.3,0.37,0.18,0.32,0.34,0.2,0.12,0.19,0.22,0.14,0.13,0.25,0.28,0.25,0.15,0.25,0.3,0.22,0.18,23,1
0.5,0.14,0.82,18.17,0.11,0.27,0.42,0.43,0.21,0.17,0.17,0.14,0.13,0.16,0.17,0.13,0.16,0.18,0.12,0.1,0.14,0.1,0.14,0.12,0.15,0.13,0.05,0.17,0.18,0.12,0.13,0.15,0.19,0.16,0.13,28,1
0.38,0.21,1.01,4.32,0.05,3.87,0.25,0.46,0.35,0.26,0.2,0.2,0.17,0.24,0.22,0.21,0.25,0.5,0.18,0.29,0.21,0.12,0.2,0.2,0.25,0.2,0.11,0.24,0.39,0.22,0.17,0.23,0.31,0.18,0.22,26,1
