win_ratio,total_accuracy,kill_to_death_ratio,total_wins_per_hour,mvp_per_round,total_headshots_per_round,accuracy_ssg08,accuracy_awp,accuracy_deagle,accuracy_aug,accuracy_scar20,accuracy_m4a1,accuracy_ak47,accuracy_bizon,accuracy_elite,accuracy_famas,accuracy_fiveseven,accuracy_g3sg1,accuracy_galilar,accuracy_glock,accuracy_hkp2000,accuracy_m249,accuracy_mac10,accuracy_mag7,accuracy_mp7,accuracy_mp9,accuracy_negev,accuracy_nova,accuracy_p250,accuracy_p90,accuracy_sawedoff,accuracy_sg556,accuracy_tec9,accuracy_ump45,accuracy_xm1014,total_games_owned,VACBanned
0.61,0.14,0.99,25.12,0.06,1.05,0.23,0.08,0.19,0.15,0.33,0.12,0.11,0.28,0.13,0.17,0.17,0.07,0.13,0.25,0.16,0.31,0.12,0.14,0.23,0.14,0.08,0.18,0.14,0.18,0.1,0.12,0.13,0.11,0.25,12,1
0.79,0.29,3.11,29.46,0.5,1.85,0.55,0.62,0.39,0.3,0.31,0.28,0.27,0.34,0.34,0.29,0.33,0.28,0.23,0.38,0.39,0.21,0.32,0.27,0.35,0.31,0.18,0.28,0.34,0.3,0.22,0.26,0.39,0.29,0.29,15,1
0.46,0.1,1.07,15.75,0.04,0.45,0.29,0.25,0.08,0.1,0.1,0.08,0.07,0.12,0.12,0.08,0.1,0.11,0.08,0.13,0.12,0.05,0.07,0.15,0.12,0.15,0.04,0.14,0.13,0.09,0.13,0.07,0.15,0.13,0.12,9,1
0.54,0.15,1.35,24.26,0.15,0.53,0.22,0.29,0.22,0.17,0.13,0.15,0.14,0.13,0.22,0.16,0.19,0.12,0.12,0.13,0.15,0.08,0.18,0.18,0.16,0.21,0.06,0.15,0.17,0.13,0.1,0.14,0.16,0.17,0.14,34,1
0.53,0.21,1.34,24.22,0.14,0.33,0.43,0.42,0.23,0.28,0.22,0.22,0.19,0.26,0.25,0.26,0.21,0.27,0.23,0.22,0.24,0.22,0.26,0.26,0.14,0.28,0.17,0.21,0.21,0.21,0.21,0.22,0.27,0.26,0.19,26,1
0.53,0.16,1.12,19.71,0.12,0.7,0.24,0.34,0.21,0.18,0.27,0.15,0.15,0.11,0.15,0.13,0.13,0.2,0.12,0.15,0.16,,0.14,0.12,0.14,0.13,0.05,0.15,0.16,0.12,0.05,0.16,,0.07,0.21,46,1
0.48,0.16,1.12,8.48,0.18,1.61,0.35,0.26,0.23,0.26,0.18,0.13,0.14,0.17,0.16,0.14,0.1,0.18,0.17,0.19,0.2,0.12,0.13,0.19,0.17,0.15,0.1,0.27,0.21,0.18,0.12,0.2,0.14,0.19,0.19,26,1
0.67,0.18,1.95,17.13,0.25,1.38,0.24,0.38,0.26,0.27,0.27,0.17,0.14,0.22,0.2,0.15,0.19,0.28,0.17,0.1,0.15,0.11,0.14,0.16,0.24,0.23,0.08,0.26,0.22,0.19,0.09,0.1,0.1,0.13,0.18,178,1
0.5,0.15,1.1,21.45,0.1,0.45,0.28,0.33,0.22,0.19,0.17,0.13,0.14,0.15,0.22,0.14,0.21,0.12,0.13,0.15,0.18,0.22,0.24,0.16,0.15,0.15,0.19,0.12,0.21,0.13,0.09,0.14,0.1,0.12,0.08,20,1
0.56,0.17,1.51,25.16,0.16,0.46,0.36,0.35,0.21,0.15,0.28,0.14,0.16,0.17,0.18,0.16,0.22,0.08,0.16,0.17,0.18,0.09,0.15,0.17,0.17,0.18,0.07,0.2,0.21,0.14,0.12,0.2,0.17,0.15,0.15,6,1
0.51,0.2,1.17,23.76,0.1,0.35,0.45,0.42,0.22,0.25,0.31,0.21,0.16,0.22,0.15,0.21,0.24,0.21,0.16,0.19,0.21,0.08,0.22,0.19,0.2,0.19,0.04,0.19,0.22,0.19,0.13,0.21,0.17,0.18,0.18,6,1
0.4,0.17,0.51,14.56,0.05,0.53,0.22,0.34,0.23,0.08,0.14,0.11,0.15,0.14,0.15,0.15,0.15,0.07,0.11,0.16,0.17,0.05,0.12,0.15,0.18,0.09,0.02,0.12,0.18,0.11,0.06,0.09,0.1,0.13,0.09,41,1
0.55,0.19,1.58,26.66,0.16,0.38,0.49,0.47,0.27,0.2,0.35,0.19,0.16,0.2,0.19,0.21,0.22,0.27,0.17,0.22,0.2,0.12,0.23,0.21,0.22,0.21,0.12,0.21,0.2,0.19,0.27,0.2,0.18,0.18,0.17,22,1
0.5,0.23,1.31,27.19,0.18,0.47,0.38,0.44,0.25,0.26,0.3,0.24,0.19,0.33,0.27,0.35,0.4,0.26,0.24,0.22,0.23,0.19,0.32,0.22,0.39,0.29,0.06,0.27,0.26,0.2,0.17,0.26,0.19,0.27,0.25,16,1
0.5,0.17,0.9,11.44,0.08,0.92,0.27,0.36,0.27,0.21,0.21,0.18,0.18,0.25,0.16,0.24,0.2,0.25,0.18,0.22,0.33,0.08,0.26,0.21,0.23,0.21,0.04,0.2,0.22,0.19,0.17,0.2,0.27,0.23,0.17,114,1
0.48,0.17,1,15.5,0.06,0.39,0.54,0.28,0.25,0.17,0.4,0.16,0.13,0.18,0.17,0.15,,0.34,0.18,0.13,0.26,0.27,0.24,0.13,0.22,,0.08,0.25,0.17,0.19,0.2,0.15,0.13,0.1,0.2,80,1
0.54,0.22,1.3,22.96,0.14,0.42,0.39,0.47,0.27,0.35,0.38,0.21,0.2,0.23,0.32,0.2,0.38,0.26,0.24,0.22,0.24,0.17,0.27,0.25,0.24,0.25,0.08,0.27,0.27,0.18,0.24,0.26,0.23,0.2,0.25,5,1
0.57,0.2,1.57,20.78,0.12,0.62,0.36,0.6,0.29,0.25,0.23,0.22,0.17,0.17,0.11,0.21,0.37,0.33,0.18,0.25,0.24,0.26,0.2,0.17,0.25,0.24,0.25,0.18,0.33,0.15,0.21,0.18,0.13,0.18,0.2,69,1
0.58,0.17,1.09,22.39,0.1,0.45,0.34,0.45,0.23,0.2,0.23,0.17,0.17,0.17,0.16,0.15,0.31,0.2,0.15,0.12,0.13,0.1,0.16,0.17,0.22,0.17,0.1,0.25,0.29,0.18,0.13,0.13,0.2,0.21,0.16,75,1
0.5,0.18,0.98,23.73,0.11,0.25,0.26,0.36,0.26,0.23,0.19,0.19,0.16,0.17,0.21,0.2,0.19,0.12,0.17,0.17,0.18,0.14,0.22,0.26,0.21,0.22,0.04,0.17,0.2,0.15,0.16,0.19,0.12,0.21,0.18,12,1
0.53,0.21,1.66,26.42,0.2,0.61,0.34,0.44,0.25,0.33,0.3,0.2,0.2,0.21,0.22,0.19,0.22,0.28,0.17,0.22,0.22,0.21,0.22,0.22,0.22,0.19,0.12,0.23,0.24,0.21,0.24,0.26,0.3,0.17,0.21,91,1
0.51,0.13,0.93,22.06,0.06,0.21,0.44,0.27,0.11,0.16,0.2,0.13,0.12,0.11,0.16,0.14,0.18,0.08,0.11,0.15,0.18,0.09,0.2,0.22,0.13,0.13,0.01,0.17,0.17,0.11,0.16,0.12,0.06,0.07,0.14,11,1
0.43,0.18,0.79,21.21,0.09,0.43,0.25,0.34,0.22,0.21,0.16,0.21,0.18,0.18,0.14,0.18,0.15,0.17,0.2,0.16,0.15,0.14,0.22,0.21,0.6,0.26,0.43,0.2,0.19,0.17,0.17,0.16,0.14,0.23,0.25,14,1
0.5,0.15,1.22,23.41,0.12,0.33,0.25,0.31,0.19,0.18,0.16,0.17,0.12,0.14,0.17,0.15,0.15,0.13,0.12,0.14,0.18,0.1,0.2,0.19,0.2,0.18,0.05,0.17,0.18,0.14,0.17,0.14,0.14,0.16,0.2,9,1
0.42,0.18,0.9,20.37,0.13,0.41,0.33,0.3,0.23,0.18,0.29,0.17,0.15,0.22,0.29,0.18,0.31,0.19,0.16,0.19,0.17,0.11,0.21,0.19,0.19,0.19,0.11,0.18,0.27,0.23,0.16,0.2,0.3,0.18,0.18,16,1
0.49,0.22,1.08,23.71,0.17,1,0.27,0.56,0.32,0.25,0.34,0.21,0.19,0.31,0.39,0.21,0.26,0.31,0.18,0.21,0.21,0.14,0.26,0.21,0.31,0.3,0.86,0.22,0.23,0.29,0.17,0.19,0.27,0.31,0.22,16,1
0.5,0.15,0.87,22.46,0.08,0.39,0.18,0.34,0.16,0.15,0.21,0.13,0.15,0.14,0.04,0.14,0.15,0.1,0.14,0.13,0.16,0.07,0.24,0.22,0.13,0.18,0.07,0.22,0.11,0.16,0.15,0.12,0.1,0.07,0.12,12,1
0.5,0.16,1.18,24.84,0.12,0.24,0.25,0.38,0.07,0.15,0.24,0.25,0.09,0.1,,0.4,,,0.21,0.17,0.17,,,,0.03,0.1,,,0.15,,,0.25,,0.04,,7,1
0.48,0.13,0.77,21.17,0.05,0.17,0.26,0.31,0.17,0.18,0.13,0.12,0.09,0.18,0.22,0.13,0.16,0.25,0.1,0.15,0.12,,,0.08,0.13,,0.01,0.18,0.12,0.12,0.13,0.14,0.22,0.12,0.18,159,1
0.5,0.18,1.07,23.69,0.13,0.37,0.29,0.43,0.26,0.19,0.25,0.17,0.15,0.2,0.13,0.21,0.14,0.18,0.16,0.12,0.14,0.12,0.23,0.18,0.23,0.2,0.06,0.23,0.2,0.21,0.18,0.25,0.18,0.17,0.27,32,1
0.56,0.21,1.53,18.03,0.15,0.83,0.34,0.4,0.27,0.3,0.25,0.18,0.16,0.28,0.31,0.21,0.26,0.81,0.6,0.2,0.22,0.5,0.28,0.25,0.29,0.3,0.5,0.22,0.19,0.22,0.16,0.21,0.21,0.29,0.25,0,1
0.46,0.06,0.6,13.95,0.02,0.23,0.15,0.31,0.12,0.09,0.18,0.06,0.07,0.06,0.04,0.06,0.1,0.36,0.04,0.05,0.06,0.05,0.1,0.03,0.05,0.04,0.03,0.11,0.09,0.05,0.05,0.09,0.03,0.05,0.11,14,1
0.58,0.15,1.36,22.69,0.23,1.34,0.5,0.32,0.29,0.26,0.21,0.1,0.11,0.12,0.4,0.2,0.12,,0.16,0.2,0.39,0.1,0.15,0.13,0.15,0.13,0.17,0.14,0.25,0.17,0.09,0.3,0.27,0.21,0.13,10,1
0.5,0.14,1.06,23.96,0.1,0.3,0.26,0.3,0.19,0.17,0.19,0.14,0.14,0.13,0.14,0.14,0.16,0.12,0.14,0.15,0.18,0.09,0.15,0.2,0.17,0.17,0.07,0.2,0.14,0.13,0.17,0.15,0.13,0.14,0.15,28,1
0.57,0.17,1.45,25.35,0.14,0.53,0.27,0.4,0.24,0.23,0.18,0.19,0.16,0.14,0.08,0.17,,,0.11,0.14,0.16,0.1,0.21,0.22,,0.09,0.07,,0.21,0.22,,,,,0.27,16,1
0.51,0.14,0.88,16.26,0.09,0.32,0.26,0.28,0.14,0.16,0.15,0.15,0.15,0.11,0.08,0.2,0.08,0.13,0.14,0.15,0.12,0.08,0.13,0.18,0.17,0.09,0.06,0.19,0.13,0.12,0.17,0.12,0.09,0.14,0.16,98,1
0.5,0.14,0.99,22.23,0.1,0.33,0.41,0.35,0.23,0.2,0.22,0.14,0.12,0.18,0.2,0.14,0.21,0.13,0.12,0.14,0.15,0.1,0.19,0.18,0.16,0.17,0.05,0.21,0.16,0.12,0.16,0.17,0.15,0.18,0.21,10,1
0.41,0.07,0.41,17.05,0.03,0.14,0.13,0.3,0.06,0.07,0.03,0.06,0.06,0.08,0.09,0.05,,0.07,0.08,0.04,0.06,0.03,0.12,0.12,0.07,0.09,0.04,0.14,0.11,0.09,0.06,0.06,,0.09,,12,1
0.49,0.15,0.89,30.21,0.08,0.4,0.25,0.32,0.29,0.13,0.28,0.12,0.12,0.11,,0.15,0.27,,0.16,0.17,0.16,0.4,0.28,0.17,0.14,0.3,0.04,0.12,0.34,0.18,0.13,0.12,0.25,0.22,0.19,48,1
0.46,0.17,0.71,17.21,0.1,0.49,0.38,0.37,0.35,0.17,0.26,0.12,0.11,0.13,0.23,0.21,0.22,0.27,0.17,0.18,0.17,0.12,0.18,0.2,0.19,0.14,0.06,0.21,0.3,0.14,0.21,0.2,0.25,0.16,0.19,53,1
0.49,0.13,0.83,18.58,0.07,0.35,0.3,0.32,0.12,0.14,0.25,0.14,0.11,0.15,0.16,0.15,0.13,0.09,0.09,0.15,0.12,0.17,0.16,0.13,0.12,0.15,0.09,0.1,0.11,0.12,0.12,0.1,0.16,0.09,0.17,21,1
0.62,0.22,1.24,20.65,0.14,0.99,0.75,0.31,0.34,0.22,0.24,0.25,0.15,0.21,0.27,0.26,0.35,0.24,0.19,0.31,0.26,0.15,0.24,0.22,0.25,0.19,0.12,0.22,0.37,0.21,0.18,0.26,0.24,0.21,0.22,70,1
0.51,0.16,1,6.65,0.06,2.35,0.44,0.39,0.2,0.18,0.12,0.15,0.14,0.22,0.24,0.18,0.24,0.26,0.16,0.27,0.21,0.12,0.19,0.21,0.21,0.2,0.07,0.21,0.17,0.15,0.18,0.19,0.19,0.22,0.15,5,1
0.8,0.17,1.12,27.7,0.1,1.12,0.32,0.34,0.22,0.12,0.12,0.17,0.16,0.14,0.2,0.15,0.17,0.34,0.12,0.14,0.18,0.95,0.2,0.22,0.58,1.15,0.47,0.28,0.19,0.26,0.16,0.4,0.29,0.88,0.47,70,1
0.46,0.15,0.76,20.19,0.08,0.29,0.12,0.33,0.17,0.15,0.14,0.17,0.13,0.18,0.19,0.18,0.15,0.15,0.13,0.15,0.2,0.1,0.04,0.11,0.18,0.16,0.04,0.18,0.22,0.14,0.15,0.11,0.23,0.15,0.13,173,1
0.57,0.18,1.2,21.22,0.14,1.12,0.46,0.39,0.23,0.28,0.34,0.16,0.16,0.22,0.17,0.19,0.12,0.41,0.17,0.25,0.27,0.1,0.19,0.12,0.23,0.14,0.07,0.17,0.16,0.2,0.14,0.16,0.36,0.21,0.12,117,1
0.49,0.18,1.07,22.14,0.1,0.39,0.31,0.36,0.2,0.23,0.24,0.19,0.15,0.19,0.2,0.19,0.19,0.16,0.16,0.2,0.23,0.12,0.22,0.18,0.21,0.24,0.1,0.24,0.24,0.18,0.21,0.18,0.15,0.19,0.21,21,1
0.64,0.13,2.36,32.49,0.34,0.57,0.3,0.36,0.27,0.2,0.11,0.11,0.06,0.11,0.21,0.17,0.17,0.2,0.13,0.22,0.36,0.09,0.29,0.12,0.11,0.11,0.07,0.18,0.35,0.12,0.16,0.14,0.16,0.13,0.08,282,1
0.55,0.2,1.48,22.82,0.19,0.6,0.5,0.48,0.37,0.26,0.27,0.21,0.19,0.18,0.18,0.31,0.27,0.33,0.18,0.25,0.29,0.11,0.18,0.19,0.14,0.32,0.06,0.28,0.22,0.16,0.15,0.22,0.16,0.16,0.18,16,1
0.52,0.16,1.04,20.25,0.14,0.45,0.22,0.22,0.29,0.12,0.08,0.12,0.13,0.13,0.21,0.17,0.2,0.24,0.13,0.27,0.18,0.16,0.12,0.23,0.14,0.16,0.11,0.24,0.44,0.17,0.19,0.18,0.22,0.14,0.12,107,1
0.49,0.22,0.83,22.66,0.07,0.35,0.4,0.38,0.17,0.25,0.29,0.21,0.14,0.28,0.2,0.21,0.26,0.21,0.17,0.21,0.26,0.24,0.34,0.25,0.23,0.29,0.16,0.22,0.23,0.18,0.23,0.18,0.35,0.24,0.19,11,1
0.55,0.17,1.33,13.39,0.11,4.21,0.21,0.32,0.15,0.11,0.14,0.17,0.18,0.16,0.05,0.23,0.14,0.15,0.16,0.19,0.14,0.08,0.11,0.19,0.14,0.11,0.05,0.12,0.24,0.15,,0.06,0.1,0.19,0.15,5,1
0.51,0.16,1.08,22.29,0.11,0.54,0.23,0.29,0.21,0.15,0.14,0.15,0.15,0.14,0.28,0.17,0.2,0.13,0.15,0.15,0.18,0.06,0.18,0.18,0.13,0.15,0.07,0.11,0.18,0.14,0.1,0.12,0.07,0.13,0.13,27,1
0.5,0.18,0.93,23.41,0.09,0.31,0.32,0.35,0.13,0.22,0.29,0.18,0.14,0.16,0.24,0.18,0.16,0.25,0.14,0.19,0.19,0.07,0.16,0.22,0.2,,0.1,0.17,0.16,0.2,0.2,0.19,0.13,0.14,0.14,7,1
0.5,0.14,1,23.24,0.09,0.27,0.3,0.3,0.17,0.14,0.26,0.15,0.13,0.13,0.17,0.16,0.15,0.14,0.12,0.15,0.16,0.06,0.2,0.2,0.12,0.19,0.05,0.16,0.18,0.13,0.09,0.14,0.14,0.14,0.22,16,1
0.51,0.16,0.69,27.52,0.07,0.28,0.29,0.29,0.15,0.16,0.23,0.15,0.13,0.26,0.11,0.16,0.19,0.23,0.16,0.14,0.15,0.13,0.22,0.2,0.19,0.22,0.07,0.17,0.22,0.13,0.2,0.12,0.16,0.18,0.13,12,1
0.52,0.2,1.49,24.55,0.12,0.47,0.57,0.35,0.3,0.28,0.26,0.18,0.15,0.22,0.45,0.22,0.21,0.23,0.28,0.22,0.22,0.33,0.35,0.29,0.76,0.38,0.16,0.22,0.24,0.2,0.23,0.24,0.33,0.27,0.39,99,1
0.48,0.16,1.02,21.67,0.09,0.37,0.36,0.38,0.16,0.16,0.18,0.15,0.12,0.14,0.17,0.15,0.18,0.17,0.12,0.14,0.16,0.94,0.15,0.16,0.15,0.17,0.16,0.15,0.16,0.13,0.18,0.13,0.09,0.13,0.13,33,1
0.5,0.19,1.22,19.29,0.1,0.34,0.35,0.42,0.23,0.17,0.22,0.2,0.17,0.2,0.24,0.18,0.18,0.3,0.17,0.21,0.23,0.11,0.01,0.19,0.22,0.23,0.03,0.14,0.22,0.2,0.17,0.16,0.18,0.19,0.1,13,1
0.49,0.12,0.69,16.7,0.02,0.35,0.25,0.27,0.18,0.18,0.13,0.11,0.07,0.16,0.11,0.14,0.12,0.27,0.11,0.18,0.15,0.09,0.15,0.16,0.13,0.18,0.07,0.16,0.18,0.11,0.16,0.23,0.13,0.1,0.17,33,1
0.52,0.2,1.41,18.24,0.06,0.77,0.25,0.5,0.14,0.41,0.4,0.23,0.28,0.25,0.2,0.17,1,0.29,0.14,0.24,0.46,0.48,0.5,0.14,0.3,0.16,0.18,0.21,0.25,0.21,0.44,0.2,0.13,0.18,0.86,72,1
0.47,0.12,0.68,22.82,0.07,0.25,0.15,0.24,0.12,0.15,0.09,0.13,0.11,0.22,0.12,0.13,0.17,,0.13,0.12,0.13,0.12,0.14,0.28,0.2,0.13,0.04,0.18,0.12,0.12,0.15,0.09,0.1,0.14,0.15,19,1
0.49,0.16,1,21.78,0.09,0.27,0.24,0.31,0.19,0.17,0.2,0.19,0.17,0.13,0.16,0.19,0.18,0.18,0.16,0.15,0.17,0.13,0.15,0.09,0.16,0.14,0.05,0.11,0.14,0.13,0.13,0.17,0.1,0.15,0.2,10,1
0.5,0.16,0.88,20.76,0.09,0.37,0.25,0.38,0.21,0.18,0.25,0.17,0.15,0.15,0.19,0.19,0.16,0.17,0.16,0.18,0.21,0.1,0.23,0.21,0.21,0.19,0.06,0.21,0.16,0.17,0.18,0.16,0.21,0.15,0.19,149,1
0.54,0.17,1.35,24.85,0.12,0.59,0.27,0.36,0.25,0.23,0.21,0.18,0.15,0.21,0.24,0.18,0.18,0.27,0.15,0.14,0.18,0.25,0.21,0.21,0.24,0.27,0.17,0.19,0.19,0.15,0.17,0.23,0.26,0.27,0.26,133,1
0.57,0.23,1.99,27.13,0.2,0.64,0.56,0.59,0.37,0.19,0.31,0.19,0.16,0.24,0.18,0.23,0.33,0.26,0.18,0.24,0.31,0.09,0.27,0.29,0.3,0.25,0.14,0.27,0.32,0.19,0.26,0.19,0.39,0.2,0.18,33,1
0.78,0.22,3.03,40.85,0.37,0.99,0.22,0.48,0.33,0.31,0.46,0.21,0.19,0.23,0.19,0.17,0.23,,0.11,0.33,0.25,0.11,0.27,0.35,0.36,0.2,0.11,0.19,0.25,0.19,0.22,0.13,0.05,0.25,0.2,185,1
0.48,0.18,1.13,18.86,0.09,0.64,0.31,0.33,0.23,0.2,0.16,0.18,0.19,0.18,0.17,0.18,0.17,0.16,0.17,0.19,0.22,0.06,0.23,0.19,0.23,0.22,0.06,0.17,0.21,0.16,0.15,0.15,0.15,0.19,0.18,107,1
0.5,0.15,0.66,7.88,0.06,1.86,0.22,0.33,0.16,0.19,0.3,0.14,0.14,0.16,0.1,0.13,0.15,0.19,,0.16,0.2,0.11,0.25,0.13,0.23,0.17,0.1,0.24,0.18,0.12,0.1,0.18,0.07,0.25,0.11,12,1
0.46,0.18,1.15,3.99,0.04,3.39,0.25,0.43,0.23,0.25,0.13,0.16,0.16,0.26,0.22,0.17,0.25,0.17,0.13,0.24,0.3,0.41,0.13,0.18,0.21,0.18,0.11,0.2,0.35,0.14,0.09,0.12,,0.16,0.16,16,1
0.38,0.21,1.08,7.92,0.06,1.61,0.3,0.5,0.22,0.39,0.09,0.16,0.22,0.22,0.18,0.19,0.19,0.19,0.18,0.22,0.22,0.62,0.19,0.21,0.23,0.21,0.1,0.22,0.19,0.22,0.17,0.15,0.19,0.2,0.18,63,1
0.53,0.16,1.15,17.34,0.08,0.5,0.31,0.31,0.21,0.2,0.21,0.14,0.13,0.19,0.19,0.17,0.15,0.18,0.14,0.14,0.15,0.06,0.21,0.24,0.21,0.17,0.09,0.19,0.14,0.19,0.21,0.14,0.19,0.13,0.2,22,1
0.48,0.19,0.79,21.35,0.11,0.37,0.47,0.38,0.23,0.25,0.49,0.2,0.17,0.15,0.37,0.19,0.16,0.2,0.2,0.18,0.27,0.14,0.22,0.19,0.17,0.2,0.46,0.17,0.21,0.14,0.13,0.15,0.14,0.15,0.12,89,1
0.55,0.23,1.55,26.36,0.15,0.55,0.38,0.45,0.27,0.23,0.23,0.25,0.2,0.22,0.24,0.26,0.28,0.18,0.18,0.21,0.23,0.19,0.26,0.27,0.32,0.23,0.1,0.28,0.23,0.22,0.21,0.19,0.18,0.26,0.22,16,1
0.63,0.21,1.31,12.22,0.26,2.08,0.23,0.32,0.21,0.2,0.14,0.2,0.14,0.34,0.25,0.31,0.27,,0.18,0.19,0.29,0.12,0.19,0.15,0.29,0.24,0.12,0.23,0.22,0.18,0.16,0.21,0.27,0.25,0.18,12,1
0.5,0.16,1.01,23.32,0.1,0.48,0.38,0.35,0.19,0.09,0.18,0.15,0.15,0.13,0.2,0.16,0.17,0.25,0.14,0.15,0.18,0.1,0.13,0.13,0.16,0.13,0.06,0.11,0.22,0.13,0.15,0.11,0.08,0.13,0.17,24,1
0.19,0.18,0.75,9.94,0.05,0.26,0.55,0.61,0.18,0.26,0.22,0.15,0.14,0.22,0.12,0.18,0.05,0.26,0.12,0.27,0.32,0.11,0.18,0.16,0.17,0.16,0.05,0.17,0.31,0.14,0.21,0.2,,0.21,0.13,6,1
0.48,0.2,1.81,29.15,0.05,1.02,0.25,0.34,0.19,0.15,0.33,0.15,0.12,0.27,0.13,0.19,0.15,0.23,0.18,1,0.16,0.12,0.17,0.83,0.25,0.17,0.07,0.13,0.2,0.12,0.12,0.16,0.18,0.14,0.15,26,1
0.63,0.23,1.48,6.22,0.25,11.96,0.42,0.38,0.26,0.28,0.3,0.21,0.21,0.27,0.27,0.27,0.28,0.23,0.22,0.3,0.32,0.24,0.27,0.23,0.3,0.19,0.11,0.27,0.24,0.23,0.21,0.29,0.24,0.2,0.2,79,1
0.55,0.2,1.18,26.65,0.13,0.32,0.39,0.35,0.25,0.25,0.29,0.17,0.17,0.19,0.23,0.18,0.18,0.31,0.12,0.19,0.22,0.08,0.29,0.25,0.27,0.17,0.08,0.18,0.22,0.16,0.17,0.16,0.16,0.18,0.23,27,1
0.48,0.18,1.21,5.91,0.08,1.09,0.17,0.35,0.22,0.18,0.28,0.19,0.19,0.19,0.21,0.13,0.32,0.4,0.18,0.14,0.14,0.19,0.14,0.28,0.1,0.16,0.13,0.29,,0.21,0.23,0.42,0.5,0.12,0.23,9,1
0.62,0.23,1.52,12.99,0.31,1.85,0.89,0.49,0.42,0.19,0.37,0.19,0.15,0.21,0.18,0.29,0.23,1,0.23,0.27,0.36,0.1,0.33,0.24,0.27,0.2,0.08,0.33,0.39,0.27,0.24,0.17,,0.19,0.24,123,1
0.51,0.17,1.14,25.19,0.13,0.48,0.29,0.42,0.17,0.3,0.21,0.17,0.15,0.24,0.11,0.29,0.27,,0.12,0.16,0.18,0.07,0.18,0.2,0.27,0.34,0.03,0.36,0.16,0.16,0.2,0.14,0.12,0.19,0.16,17,1
0.51,0.15,0.79,14.18,0.05,0.68,0.31,0.23,0.17,0.1,0.39,0.15,0.09,0.2,0.2,0.2,0.33,0.18,0.08,0.22,0.16,0.09,0.14,0.13,0.17,0.14,0.05,0.19,0.3,0.15,0.15,0.2,0.4,0.16,0.24,29,1
0.52,0.15,0.97,21.62,0.1,0.53,0.31,0.27,0.19,0.11,0.11,0.17,0.13,0.08,0.11,0.15,0.04,0.36,0.12,0.13,0.14,,0.27,0.42,0.2,0.13,0.04,0.12,0.13,0.16,0.19,0.13,0.5,0.22,0.29,50,1
0.56,0.18,2.05,22.46,0.27,0.79,0.4,0.42,0.24,0.21,0.25,0.22,0.16,0.27,0.32,0.12,0.3,,0.12,0.16,0.11,0.2,0.23,0.22,0.29,0.28,0.03,0.27,0.29,0.31,0.15,0.29,0.05,0.23,0.29,8,1
0.5,0.2,1.08,18.15,0.14,1.36,0.33,0.39,0.27,0.24,0.48,0.24,0.22,0.21,0.28,0.22,0.25,0.21,0.19,0.23,0.23,0.12,0.22,0.22,0.33,0.21,0.07,0.24,0.18,0.18,0.19,0.2,0.2,0.2,0.2,9,1
0.58,0.18,2,23.78,0.22,0.85,0.32,0.36,0.25,0.19,0.24,0.17,0.15,0.17,0.28,0.14,0.06,0.2,0.18,0.11,0.15,0.17,0.29,0.1,0.23,0.27,0.15,0.13,0.05,0.2,0.14,0.2,0.31,0.19,0.2,75,1
0.54,0.18,1.31,27.3,0.14,0.45,0.35,0.35,0.25,0.19,0.25,0.17,0.16,0.2,0.28,0.23,0.22,0.22,0.18,0.17,0.18,0.14,0.23,0.22,0.22,0.23,0.1,0.2,0.18,0.16,0.17,0.18,0.19,0.19,0.2,694,1
0.58,0.18,1.54,23.55,0.17,0.66,0.35,0.41,0.25,0.18,0.26,0.17,0.17,0.17,0.13,0.23,0.28,0.34,0.18,0.14,0.13,0.09,0.18,0.18,0.21,0.16,0.08,0.26,0.32,0.18,0.1,0.15,0.1,0.19,0.23,127,1
0.51,0.16,0.84,14.89,0.08,0.37,0.18,0.34,0.22,0.08,0.15,0.16,0.16,0.11,0.16,0.19,0.2,,0.15,0.16,0.17,0.13,0.09,0.18,0.13,0.15,0.06,0.12,0.27,0.12,,0.08,0.1,0.1,0.15,14,1
0.45,0.18,0.71,15.86,0.05,0.42,0.39,0.37,0.21,0.18,0.4,0.15,0.15,0.22,0.16,0.21,0.18,0.28,0.16,0.19,0.2,0.1,0.19,0.2,0.22,0.2,0.1,0.19,0.21,0.2,0.19,0.2,0.2,0.17,0.16,95,1
0.49,0.16,1.09,24.13,0.11,0.41,0.33,0.34,0.17,0.15,0.18,0.18,0.15,0.16,0.11,0.2,0.16,0.16,0.16,0.15,0.18,0.06,0.12,0.18,0.22,0.14,0.06,0.15,0.15,0.16,0.13,0.14,0.11,0.15,0.16,28,1
0.53,0.14,1.13,16.08,0.09,0.69,0.23,0.29,0.2,0.15,0.12,0.13,0.13,0.11,0.13,0.13,0.15,0.07,0.11,0.12,0.14,0.04,0.1,0.13,0.13,0.1,0.03,0.12,0.15,0.12,0.1,0.09,0.04,0.13,0.14,28,1
0.55,0.2,1.93,24.16,0.2,0.66,0.37,0.41,0.26,0.2,0.2,0.2,0.19,0.27,0.2,0.24,0.22,0.15,0.18,0.17,0.23,0.17,0.25,0.23,0.19,0.25,0.06,0.24,0.2,0.21,0.21,0.3,0.19,0.19,0.25,149,1
0.49,0.26,3.22,13.84,0.15,1.25,0.21,0.32,0.19,0.13,0.19,0.16,0.11,1.36,0.2,0.16,0.14,0.3,0.28,0.11,0.26,0.02,0.07,0.11,0.14,0.11,0.19,0.11,0.73,0.11,,0.1,0.08,0.11,0.11,15,1
